device_id,timestamp,accuracy,heading_d,latitude,longitude
Tango,1999-12-31T20:27:43Z,4,324,-24.202988,30.890585
Tango,1999-12-31T20:27:46Z,3,325,-24.202885,30.890474
Tango,1999-12-31T20:27:50Z,4,340,-24.202717,30.8904
Tango,1999-12-31T20:27:53Z,4,341,-24.20261,30.890364
Tango,1999-12-31T20:27:57Z,4,337,-24.202444,30.890291
Tango,1999-12-31T20:28:00Z,4,338,-24.20232,30.890238
Tango,1999-12-31T20:28:04Z,4,338.3,-24.202175,30.890167
Tango,1999-12-31T20:28:07Z,3,343,-24.20206,30.890127
Tango,1999-12-31T20:28:10Z,3,344,-24.201918,30.890083
Tango,1999-12-31T20:28:14Z,4,338,-24.201752,30.890028
Tango,1999-12-31T20:28:18Z,4,338,-24.201548,30.889942
Tango,1999-12-31T20:28:22Z,4,338,-24.201372,30.889864
Tango,1999-12-31T20:28:25Z,4,338,-24.201237,30.889809
Tango,1999-12-31T20:28:29Z,3,337,-24.201056,30.88973
Tango,1999-12-31T20:28:33Z,4,336,-24.200876,30.889648
Tango,1999-12-31T20:28:36Z,3,333,-24.200735,30.889578
Tango,1999-12-31T20:28:40Z,3,346,-24.200537,30.889496
Tango,1999-12-31T20:28:44Z,4,337,-24.200344,30.889427
Tango,1999-12-31T20:28:47Z,4,341,-24.200216,30.889372
Tango,1999-12-31T20:28:51Z,4,331,-24.200048,30.8893
Tango,1999-12-31T20:28:55Z,4,336,-24.199863,30.88921
Tango,1999-12-31T20:28:59Z,4,338,-24.199692,30.889132
Tango,1999-12-31T20:29:03Z,3,340,-24.199535,30.889074
Tango,1999-12-31T20:29:06Z,4,338,-24.199425,30.889032
Tango,1999-12-31T20:29:10Z,5,336,-24.199268,30.888958
Tango,1999-12-31T20:29:13Z,5,343,-24.19915,30.888914
Tango,1999-12-31T20:29:17Z,4,345,-24.198978,30.88887
Tango,1999-12-31T20:29:20Z,3,337.8,-24.198856,30.888826
Tango,1999-12-31T20:29:24Z,5,336.9,-24.198704,30.888748
Tango,1999-12-31T20:29:27Z,4,338,-24.198587,30.8887
Tango,1999-12-31T20:29:30Z,3,339,-24.198458,30.88864
Tango,1999-12-31T20:29:34Z,4,350,-24.198263,30.888586
Tango,1999-12-31T20:29:37Z,4,343.1,-24.198154,30.888563
Tango,1999-12-31T20:29:41Z,3,341,-24.197975,30.888504
Tango,1999-12-31T20:29:45Z,4,340.1,-24.197807,30.888445
Tango,1999-12-31T20:29:48Z,4,334.1,-24.197693,30.888395
Tango,1999-12-31T20:29:51Z,4,339,-24.197544,30.888325
Tango,1999-12-31T20:29:54Z,4,340,-24.1974,30.888268
Tango,1999-12-31T20:29:58Z,4,337.2,-24.197254,30.8882
Tango,1999-12-31T20:30:01Z,4,345,-24.197102,30.888151
Tango,1999-12-31T20:30:05Z,4,353,-24.196909,30.888107
Tango,1999-12-31T20:30:09Z,4,346,-24.196756,30.8881
Tango,1999-12-31T20:30:12Z,4,316,-24.196642,30.888027
Tango,1999-12-31T20:30:16Z,4,306,-24.196527,30.887869
Tango,1999-12-31T20:30:20Z,4,318,-24.196451,30.887762
Tango,1999-12-31T20:30:23Z,4,345.9,-24.19632,30.887691
Tango,1999-12-31T20:30:26Z,4,346,-24.19616,30.887655
Tango,1999-12-31T20:30:30Z,5,338,-24.195974,30.887589
Tango,1999-12-31T20:30:34Z,5,339,-24.195765,30.8875
Tango,1999-12-31T20:30:37Z,4,340.4,-24.195646,30.887447
Tango,1999-12-31T20:30:41Z,4,341,-24.195463,30.887384
Tango,1999-12-31T20:30:44Z,4,340,-24.195328,30.887333
Tango,1999-12-31T20:30:48Z,4,337,-24.19521,30.887283
Tango,1999-12-31T20:30:51Z,4,334,-24.195095,30.887228
Tango,1999-12-31T20:30:55Z,5,338,-24.194923,30.887154
Tango,1999-12-31T20:30:59Z,4,337.4,-24.194803,30.887102
Tango,1999-12-31T20:31:03Z,4,338.9,-24.194658,30.887032
Tango,1999-12-31T20:31:07Z,5,343,-24.194504,30.886986
Tango,1999-12-31T20:31:10Z,4,339.8,-24.194384,30.886946
Tango,1999-12-31T20:31:14Z,3,340.2,-24.19422,30.886875
Tango,1999-12-31T20:31:18Z,4,339,-24.194038,30.886805
Tango,1999-12-31T20:31:21Z,4,332,-24.193895,30.886742
Tango,1999-12-31T20:31:25Z,4,340,-24.193712,30.886637
Tango,1999-12-31T20:31:29Z,5,337,-24.193508,30.886566
Tango,1999-12-31T20:31:32Z,5,331,-24.193377,30.886494
Tango,1999-12-31T20:31:35Z,4,339,-24.193249,30.886429
Tango,1999-12-31T20:31:39Z,4,343,-24.193106,30.886375
Tango,1999-12-31T20:31:43Z,4,331.5,-24.192972,30.886312
Tango,1999-12-31T20:31:47Z,4,337,-24.192837,30.886244
Tango,1999-12-31T20:31:50Z,4,343.1,-24.192736,30.886206
